goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,ageCode,ageDesc,sexCode,sexDesc,typeOfSkillCode,typeOfSkillDesc,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_latest_year,latest_year,ObjectId
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,659,Saint Kitts and Nevis,29,Caribbean,Country,KNA,1,-62.76628613,17.33994219,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1001
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,724,Spain,39,Southern Europe,Country,ESP,1,-3.554078296,40.39211472,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,69.120690,,,,,,69.120690,2012,1002
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,659,Saint Kitts and Nevis,29,Caribbean,Country,KNA,1,-62.76628613,17.33994219,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1003
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,659,Saint Kitts and Nevis,29,Caribbean,Country,KNA,1,-62.76628613,17.33994219,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1004
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,724,Spain,39,Southern Europe,Country,ESP,1,-3.554078296,40.39211472,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,72.670680,,,,,,72.670680,2012,1005
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,659,Saint Kitts and Nevis,29,Caribbean,Country,KNA,1,-62.76628613,17.33994219,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1006
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,724,Spain,39,Southern Europe,Country,ESP,1,-3.554078296,40.39211472,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,65.536580,,,,,,65.536580,2012,1007
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,724,Spain,39,Southern Europe,Country,ESP,1,-3.554078296,40.39211472,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,72.297560,,,,,,72.297560,2012,1008
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,659,Saint Kitts and Nevis,29,Caribbean,Country,KNA,1,-62.76628613,17.33994219,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1009
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,728,South Sudan,14,Eastern Africa,Country,SSD,1,30.32618773,7.290839152,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1010
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,659,Saint Kitts and Nevis,29,Caribbean,Country,KNA,1,-62.76628613,17.33994219,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1011
