goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,educationLevelCode,educationLevelDesc,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_latest_year,latest_year,ObjectId
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,380,Italy,39,Southern Europe,Country,ITA,1,12.57022427,42.79917282,UPPSEC,Upper secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,2016,1
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,380,Italy,39,Southern Europe,Country,ITA,1,12.57022427,42.79917282,PRIMAR,Primary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,2016,2
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,380,Italy,39,Southern Europe,Country,ITA,1,12.57022427,42.79917282,LOWSEC,Lower secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,2016,3
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,384,Côte d'Ivoire,11,Western Africa,Country,CIV,1,-5.552690016,7.62211586,UPPSEC,Upper secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,100,71.331520,,71.33152,2017,4
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,384,Côte d'Ivoire,11,Western Africa,Country,CIV,1,-5.552690016,7.62211586,PRIMAR,Primary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,51.41828,43.236950,,43.23695,2017,5
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,384,Côte d'Ivoire,11,Western Africa,Country,CIV,1,-5.552690016,7.62211586,LOWSEC,Lower secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,100,83.621240,,83.62124,2017,6
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,388,Jamaica,29,Caribbean,Country,JAM,1,-77.31068409,18.15616857,UPPSEC,Upper secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,100,100,,100,2017,7
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,388,Jamaica,29,Caribbean,Country,JAM,1,-77.31068409,18.15616857,PRIMAR,Primary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,93.92202,93.928980,,93.92898,2017,8
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,388,Jamaica,29,Caribbean,Country,JAM,1,-77.31068409,18.15616857,LOWSEC,Lower secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,92.94118,92.941180,,92.94118,2017,9
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,392,Japan,30,Eastern Asia,Country,JPN,1,139.2716103,36.6554539,UPPSEC,Upper secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,392,Japan,30,Eastern Asia,Country,JPN,1,139.2716103,36.6554539,PRIMAR,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,392,Japan,30,Eastern Asia,Country,JPN,1,139.2716103,36.6554539,LOWSEC,Lower secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,398,Kazakhstan,143,Central Asia,Country,KAZ,1,66.65359159,48.01963494,UPPSEC,Upper secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,4,Afghanistan,34,Southern Asia,Country,AFG,1,66.02688198,33.83160199,UPPSEC,Upper secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,84.32528,97.972580,,97.97258,2017,14
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,500,Montserrat,29,Caribbean,Country,MSR,0,-62.19261223,16.73558313,LOWSEC,Lower secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,398,Kazakhstan,143,Central Asia,Country,KAZ,1,66.65359159,48.01963494,PRIMAR,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,398,Kazakhstan,143,Central Asia,Country,KAZ,1,66.65359159,48.01963494,LOWSEC,Lower secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,400,Jordan,145,Western Asia,Country,JOR,1,37.13024774,30.65365973,UPPSEC,Upper secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,,100,,100,2017,18
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,400,Jordan,145,Western Asia,Country,JOR,1,37.13024774,30.65365973,PRIMAR,Primary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,,100,,100,2017,19
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,400,Jordan,145,Western Asia,Country,JOR,1,37.13024774,30.65365973,LOWSEC,Lower secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,,100,,100,2017,20
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,404,Kenya,14,Eastern Africa,Country,KEN,1,37.86096816,0.534797278,UPPSEC,Upper secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,404,Kenya,14,Eastern Africa,Country,KEN,1,37.86096816,0.534797278,PRIMAR,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,404,Kenya,14,Eastern Africa,Country,KEN,1,37.86096816,0.534797278,LOWSEC,Lower secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,408,Democratic People's Republic of Korea,30,Eastern Asia,Country,PRK,1,127.1803633,40.1462645,UPPSEC,Upper secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,408,Democratic People's Republic of Korea,30,Eastern Asia,Country,PRK,1,127.1803633,40.1462645,PRIMAR,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,408,Democratic People's Republic of Korea,30,Eastern Asia,Country,PRK,1,127.1803633,40.1462645,LOWSEC,Lower secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,410,Republic of Korea,30,Eastern Asia,Country,KOR,1,127.8610254,36.45201023,UPPSEC,Upper secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,2016,27
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,410,Republic of Korea,30,Eastern Asia,Country,KOR,1,127.8610254,36.45201023,PRIMAR,Primary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,2016,28
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,410,Republic of Korea,30,Eastern Asia,Country,KOR,1,127.8610254,36.45201023,LOWSEC,Lower secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,2016,29
4,4.a,4.a.1,SE_ACC_DWAT,"Schools with access to basic drinking water, by education level (%)",2019.Q2.G.01,414,Kuwait,145,Western Asia,Country,KWT,1,47.49305029,29.53949468,UPPSEC,Upper secondary,PERCENT,Percentage,,,G,Global,,,UIS,,C: Country data,,,,,,,,,,,,,,,,,100,100,,100,2017,30
